Customer ID,Customer Name,Business Name,Phone,Email,Address,Customer Type,Registration Date,Account Status,Credit Status,Total Purchases,Outstanding Balance,Last Purchase,Last Purchase Date
CUST-000001,Musa Usman,Excellent Wholesale Stores,8090668968.0,customer1@demo-biscuit.com,"Demo Business District, Area 20",Retailer,2024-12-22,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000002,Zainab Abubakar,Victory Distribution Centre,8024862807.0,customer2@demo-biscuit.com,"Demo Business District, Area 10",Distributor,2024-03-30,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000003,Muhammad Abubakar,Unity Wholesale Depot,8057866880.0,customer3@demo-biscuit.com,"Demo Business District, Area 13",Wholesale,2024-06-11,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000004,Rukayya Usman,Prime Choice Wholesale Stores,8096542925.0,customer4@demo-biscuit.com,"Demo Business District, Area 23",Retailer,2024-07-11,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000005,Muhammad Shehu,Trusted Choice Trading Company,8084416889.0,customer5@demo-biscuit.com,"Demo Business District, Area 16",Distributor,2024-02-07,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000006,Fatima Kabiru,Success Trading Company,8066366902.0,customer6@demo-biscuit.com,"Demo Business District, Area 19",Distributor,2023-12-09,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000007,Fatima Abdullahi,Premium General Suppliers,8080224935.0,customer7@demo-biscuit.com,"Demo Business District, Area 22",Wholesale,2026-03-31,Inactive,Review,0.0,0.0,14 Aug 2026,
CUST-000008,Aisha Ibrahim,Diamond General Suppliers,8083233523.0,customer8@demo-biscuit.com,"Demo Business District, Area 9",Wholesale,2024-12-18,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000009,Zainab Ahmad,Evergreen Trading Company,8046109392.0,customer9@demo-biscuit.com,"Demo Business District, Area 1",Distributor,2026-06-11,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000010,Bello Ahmad,Success Trading Company,8075171986.0,customer10@demo-biscuit.com,"Demo Business District, Area 15",Distributor,2025-02-06,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000011,Zainab Musa,Standard Foods & Beverages,8079145394.0,customer11@demo-biscuit.com,"Demo Business District, Area 9",Distributor,2025-04-07,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000012,Rukayya Abubakar,Prime Choice Foods & Beverages,8065205206.0,customer12@demo-biscuit.com,"Demo Business District, Area 5",Distributor,2025-04-10,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000013,Muhammad Lawal,Premium Wholesale Stores,8093359230.0,customer13@demo-biscuit.com,"Demo Business District, Area 2",Wholesale,2024-06-05,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000014,Asma'u Shehu,Golden Basket Wholesale Centre,8028101218.0,customer14@demo-biscuit.com,"Demo Business District, Area 18",Distributor,2025-11-28,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000015,Ahmed Kabiru,Success Wholesale Stores,8028165850.0,customer15@demo-biscuit.com,"Demo Business District, Area 19",Distributor,2025-09-04,Inactive,Review,0.0,0.0,14 Aug 2026,
CUST-000016,Aliyu Ibrahim,Excellent General Suppliers,8019856055.0,customer16@demo-biscuit.com,"Demo Business District, Area 2",Distributor,2024-03-13,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000017,Hadiza Abdullahi,Northern Star Wholesale Stores,8026290387.0,customer17@demo-biscuit.com,"Demo Business District, Area 16",Distributor,2025-03-24,Inactive,Restricted,0.0,0.0,14 Aug 2026,
CUST-000018,Usman Ibrahim,Premium Wholesale Stores,8041316553.0,customer18@demo-biscuit.com,"Demo Business District, Area 22",Wholesale,2024-07-17,Active,Restricted,0.0,0.0,14 Aug 2026,
