Delivery ID,Delivery Date,Truck ID,Registration Number,Driver ID,Driver Name,Customer ID,Customer Name,Sale ID,Invoice ID,Delivery Address,Route,Status,Dispatch Time,Delivery Time,Notes
DEL-2026-000001,2026-08-14,TRK-000001,KT-726-XY,DRV-000001,Demo Driver 1,CUST-000072,Khadija Hassan,SALE-2026-000034,INV-2026-000034,Demo Distribution Area 23,Kano Central,Pending,2026-08-14 08:30:00,,Demo wholesale delivery
DEL-2026-000002,2026-07-17,TRK-000004,KT-857-XY,DRV-000004,Demo Driver 4,CUST-000404,Abdullahi Usman,SALE-2026-000107,INV-2026-000107,Demo Distribution Area 17,Zaria Route,In Transit,2026-07-17 08:30:00,,Demo wholesale delivery
DEL-2026-000003,2026-07-15,TRK-000002,KT-947-XY,DRV-000002,Demo Driver 2,CUST-000348,Maryam Ibrahim,SALE-2026-000094,INV-2026-000094,Demo Distribution Area 11,Sokoto North,Pending,2026-07-15 08:30:00,,Demo wholesale delivery
DEL-2026-000004,2026-07-17,TRK-000007,KT-214-XY,DRV-000007,Demo Driver 7,CUST-000404,Abdullahi Usman,SALE-2026-000107,INV-2026-000107,Demo Distribution Area 1,Birnin Kebbi Route,Delivered,2026-07-17 08:30:00,2026-07-17 14:30:00,Demo wholesale delivery
DEL-2026-000005,2026-07-05,TRK-000001,KT-726-XY,DRV-000001,Demo Driver 1,CUST-000327,Rukayya Bello,SALE-2026-000010,INV-2026-000010,Demo Distribution Area 19,Kano Central,Delivered,2026-07-05 08:30:00,2026-07-05 14:30:00,Demo wholesale delivery
DEL-2026-000006,2026-08-14,TRK-000006,KT-391-XY,DRV-000006,Demo Driver 6,CUST-000411,Hassan Musa,SALE-2026-000091,INV-2026-000091,Demo Distribution Area 9,Gusau Route,Dispatched,2026-08-14 08:30:00,,Demo wholesale delivery
DEL-2026-000007,2026-07-20,TRK-000007,KT-214-XY,DRV-000007,Demo Driver 7,CUST-000245,Khadija Usman,SALE-2026-000040,INV-2026-000040,Demo Distribution Area 12,Birnin Kebbi Route,Delivered,2026-07-20 08:30:00,2026-07-20 14:30:00,Demo wholesale delivery
DEL-2026-000008,2026-07-12,TRK-000006,KT-391-XY,DRV-000006,Demo Driver 6,CUST-000353,Usman Danjuma,SALE-2026-000014,INV-2026-000014,Demo Distribution Area 12,Gusau Route,In Transit,2026-07-12 08:30:00,,Demo wholesale delivery
DEL-2026-000009,2026-06-19,TRK-000004,KT-857-XY,DRV-000004,Demo Driver 4,CUST-000255,Sani Umar,SALE-2026-000096,INV-2026-000096,Demo Distribution Area 21,Zaria Route,Pending,2026-06-19 08:30:00,,Demo wholesale delivery
DEL-2026-000010,2026-08-14,TRK-000003,KT-958-XY,DRV-000003,Demo Driver 3,CUST-000369,Maryam Sani,SALE-2026-000082,INV-2026-000082,Demo Distribution Area 2,Kaduna Route,Delivered,2026-08-14 08:30:00,2026-08-14 14:30:00,Demo wholesale delivery
DEL-2026-000011,2026-08-12,TRK-000003,KT-958-XY,DRV-000003,Demo Driver 3,CUST-000283,Aliyu Mohammed,SALE-2026-000086,INV-2026-000086,Demo Distribution Area 10,Kaduna Route,Dispatched,2026-08-12 08:30:00,,Demo wholesale delivery
