Movement ID,Date,Product ID,Product Name,Movement Type,Quantity,Reference,Source/Destination,Recorded By,Notes
STOCK-000001,2026-06-15,PROD-000001,Classic Cream,Opening Stock,743.0,OPEN-PROD-000001,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000002,2026-07-12,PROD-000001,Classic Cream,Stock Received,754.0,GRN-000002,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000003,2026-06-15,PROD-000002,Coconut Crunch,Opening Stock,1548.0,OPEN-PROD-000002,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000004,2026-07-30,PROD-000002,Coconut Crunch,Stock Received,310.0,GRN-000004,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000005,2026-06-15,PROD-000003,Golden Crunch,Opening Stock,1730.0,OPEN-PROD-000003,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000006,2026-07-08,PROD-000003,Golden Crunch,Stock Received,961.0,GRN-000006,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000007,2026-06-15,PROD-000004,Cocoa Sandwich,Opening Stock,1621.0,OPEN-PROD-000004,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000008,2026-07-07,PROD-000004,Cocoa Sandwich,Stock Received,1105.0,GRN-000008,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000009,2026-06-15,PROD-000005,Classic Crackers,Opening Stock,1403.0,OPEN-PROD-000005,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000010,2026-08-13,PROD-000005,Classic Crackers,Stock Received,591.0,GRN-000010,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000011,2026-06-15,PROD-000006,Caramel Cream,Opening Stock,1757.0,OPEN-PROD-000006,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000012,2026-08-06,PROD-000006,Caramel Cream,Stock Received,265.0,GRN-000012,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000013,2026-06-15,PROD-000007,Milk Crunch,Opening Stock,1088.0,OPEN-PROD-000007,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000014,2026-07-16,PROD-000007,Milk Crunch,Stock Received,300.0,GRN-000014,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000015,2026-06-15,PROD-000008,Classic Crackers,Opening Stock,523.0,OPEN-PROD-000008,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000016,2026-07-01,PROD-000008,Classic Crackers,Stock Received,1104.0,GRN-000016,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000017,2026-06-15,PROD-000009,Vanilla Cream,Opening Stock,1143.0,OPEN-PROD-000009,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000018,2026-07-19,PROD-000009,Vanilla Cream,Stock Received,530.0,GRN-000018,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000019,2026-06-15,PROD-000010,Milk Crunch,Opening Stock,1015.0,OPEN-PROD-000010,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000020,2026-07-22,PROD-000010,Milk Crunch,Stock Received,812.0,GRN-000020,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000021,2026-06-15,PROD-000011,Golden Crunch,Opening Stock,2148.0,OPEN-PROD-000011,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000022,2026-07-12,PROD-000011,Golden Crunch,Stock Received,870.0,GRN-000022,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000023,2026-06-15,PROD-000012,Premium Wafer,Opening Stock,1806.0,OPEN-PROD-000012,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000024,2026-07-23,PROD-000012,Premium Wafer,Stock Received,256.0,GRN-000024,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000025,2026-06-15,PROD-000013,Cocoa Sandwich,Opening Stock,683.0,OPEN-PROD-000013,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000026,2026-07-26,PROD-000013,Cocoa Sandwich,Stock Received,698.0,GRN-000026,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000027,2026-06-15,PROD-000014,Classic Crackers,Opening Stock,1436.0,OPEN-PROD-000014,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000028,2026-07-03,PROD-000014,Classic Crackers,Stock Received,388.0,GRN-000028,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000029,2026-06-15,PROD-000015,Butter Delight,Opening Stock,1941.0,OPEN-PROD-000015,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000030,2026-08-12,PROD-000015,Butter Delight,Stock Received,732.0,GRN-000030,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000031,2026-06-15,PROD-000016,Rich Chocolate,Opening Stock,1955.0,OPEN-PROD-000016,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000032,2026-07-21,PROD-000016,Rich Chocolate,Stock Received,855.0,GRN-000032,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000033,2026-06-15,PROD-000017,Rich Chocolate,Opening Stock,1444.0,OPEN-PROD-000017,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000034,2026-08-08,PROD-000017,Rich Chocolate,Stock Received,964.0,GRN-000034,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000035,2026-06-15,PROD-000018,Golden Crunch,Opening Stock,1316.0,OPEN-PROD-000018,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000036,2026-08-06,PROD-000018,Golden Crunch,Stock Received,1120.0,GRN-000036,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000037,2026-06-15,PROD-000019,Classic Crackers,Opening Stock,1371.0,OPEN-PROD-000019,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000038,2026-07-06,PROD-000019,Classic Crackers,Stock Received,1137.0,GRN-000038,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000039,2026-06-15,PROD-000020,Vanilla Cream,Opening Stock,1505.0,OPEN-PROD-000020,Main Warehouse,Demo Administrator,Initial demo stock
