Payment ID,Payment Date,Invoice ID,Customer ID,Customer Name,Amount,Payment Method,Reference,Received By,Notes
PAY-000001,2026-07-11,INV-2026-000001,CUST-000357,Sani Umar,225000.0,POS,DEMO-PAY-00001,Demo Administrator,Demo payment
PAY-000002,2026-07-31,INV-2026-000002,CUST-000123,Khadija Ibrahim,323900.0,Bank Transfer,DEMO-PAY-00002,Demo Administrator,Demo payment
PAY-000003,2026-08-07,INV-2026-000003,CUST-000183,Maryam Suleiman,616000.0,POS,DEMO-PAY-00003,Demo Administrator,Demo payment
PAY-000004,2026-08-07,INV-2026-000004,CUST-000294,Aliyu Usman,595800.0,POS,DEMO-PAY-00004,Demo Administrator,Demo payment
PAY-000005,2026-07-30,INV-2026-000005,CUST-000486,Zainab Ahmad,309600.0,Cash,DEMO-PAY-00005,Demo Administrator,Demo payment
PAY-000006,2026-07-22,INV-2026-000006,CUST-000106,Asma'u Ibrahim,295200.0,POS,DEMO-PAY-00006,Demo Administrator,Demo payment
PAY-000007,2026-06-25,INV-2026-000007,CUST-000425,Safiya Lawal,157800.0,Cash,DEMO-PAY-00007,Demo Administrator,Demo payment
PAY-000008,2026-08-06,INV-2026-000008,CUST-000049,Maryam Aliyu,285600.0,Bank Transfer,DEMO-PAY-00008,Demo Administrator,Demo payment
PAY-000009,2026-07-05,INV-2026-000009,CUST-000208,Safiya Abdullahi,32900.0,Bank Transfer,DEMO-PAY-00009,Demo Administrator,Demo payment
PAY-000010,2026-07-09,INV-2026-000010,CUST-000327,Rukayya Bello,238300.0,Cash,DEMO-PAY-00010,Demo Administrator,Demo payment
PAY-000011,2026-07-07,INV-2026-000011,CUST-000343,Yusuf Ahmad,126900.0,POS,DEMO-PAY-00011,Demo Administrator,Demo payment
PAY-000012,2026-07-05,INV-2026-000012,CUST-000505,Safiya Kabiru,636800.0,POS,DEMO-PAY-00012,Demo Administrator,Demo payment
PAY-000013,2026-07-28,INV-2026-000013,CUST-000372,Usman Tanko,164300.0,POS,DEMO-PAY-00013,Demo Administrator,Demo payment
PAY-000014,2026-07-17,INV-2026-000014,CUST-000353,Usman Danjuma,635700.0,POS,DEMO-PAY-00014,Demo Administrator,Demo payment
PAY-000015,2026-06-24,INV-2026-000015,CUST-000022,Bello Umar,241400.0,POS,DEMO-PAY-00015,Demo Administrator,Demo payment
