Record ID,Record Type,Record Number,Source Type,Record Date,Customer ID,Customer Name,Related Transaction,Description,Imported By,Import Date,Status,Notes
REC-2026-000001,Completed Sale,SALE-2026-000001,CRM Operational Archive,2026-07-10,CUST-000357,Sani Umar,,Sale completed for Sani Umar. Total: 225000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000002,Completed Sale,SALE-2026-000002,CRM Operational Archive,2026-07-29,CUST-000123,Khadija Ibrahim,,Sale completed for Khadija Ibrahim. Total: 323900.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000003,Completed Sale,SALE-2026-000003,CRM Operational Archive,2026-08-02,CUST-000183,Maryam Suleiman,,Sale completed for Maryam Suleiman. Total: 616000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000004,Completed Sale,SALE-2026-000004,CRM Operational Archive,2026-08-06,CUST-000294,Aliyu Usman,,Sale completed for Aliyu Usman. Total: 595800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000005,Completed Sale,SALE-2026-000005,CRM Operational Archive,2026-07-28,CUST-000486,Zainab Ahmad,,Sale completed for Zainab Ahmad. Total: 309600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000006,Completed Sale,SALE-2026-000006,CRM Operational Archive,2026-07-20,CUST-000106,Asma'u Ibrahim,,Sale completed for Asma'u Ibrahim. Total: 295200.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000007,Completed Sale,SALE-2026-000007,CRM Operational Archive,2026-06-23,CUST-000425,Safiya Lawal,,Sale completed for Safiya Lawal. Total: 157800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000008,Completed Sale,SALE-2026-000008,CRM Operational Archive,2026-08-06,CUST-000049,Maryam Aliyu,,Sale completed for Maryam Aliyu. Total: 285600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000009,Completed Sale,SALE-2026-000009,CRM Operational Archive,2026-07-04,CUST-000208,Safiya Abdullahi,,Sale completed for Safiya Abdullahi. Total: 32900.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000010,Completed Sale,SALE-2026-000010,CRM Operational Archive,2026-07-05,CUST-000327,Rukayya Bello,,Sale completed for Rukayya Bello. Total: 238300.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000011,Completed Sale,SALE-2026-000011,CRM Operational Archive,2026-07-02,CUST-000343,Yusuf Ahmad,,Sale completed for Yusuf Ahmad. Total: 126900.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000012,Completed Sale,SALE-2026-000012,CRM Operational Archive,2026-06-30,CUST-000505,Safiya Kabiru,,Sale completed for Safiya Kabiru. Total: 636800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000013,Completed Sale,SALE-2026-000013,CRM Operational Archive,2026-07-24,CUST-000372,Usman Tanko,,Sale completed for Usman Tanko. Total: 164300.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000014,Completed Sale,SALE-2026-000014,CRM Operational Archive,2026-07-12,CUST-000353,Usman Danjuma,,Sale completed for Usman Danjuma. Total: 635700.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000015,Completed Sale,SALE-2026-000015,CRM Operational Archive,2026-06-19,CUST-000022,Bello Umar,,Sale completed for Bello Umar. Total: 241400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000016,Completed Sale,SALE-2026-000016,CRM Operational Archive,2026-08-12,CUST-000484,Abubakar Lawal,,Sale completed for Abubakar Lawal. Total: 383600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000017,Completed Sale,SALE-2026-000017,CRM Operational Archive,2026-06-17,CUST-000365,Hassan Bello,,Sale completed for Hassan Bello. Total: 153300.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000018,Completed Sale,SALE-2026-000018,CRM Operational Archive,2026-07-31,CUST-000213,Zainab Usman,,Sale completed for Zainab Usman. Total: 75100.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000019,Completed Sale,SALE-2026-000019,CRM Operational Archive,2026-08-07,CUST-000040,Hassan Tanko,,Sale completed for Hassan Tanko. Total: 261900.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000020,Completed Sale,SALE-2026-000020,CRM Operational Archive,2026-08-06,CUST-000204,Rukayya Aliyu,,Sale completed for Rukayya Aliyu. Total: 188200.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000021,Completed Sale,SALE-2026-000021,CRM Operational Archive,2026-07-18,CUST-000447,Musa Shehu,,Sale completed for Musa Shehu. Total: 227800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000022,Completed Sale,SALE-2026-000022,CRM Operational Archive,2026-06-21,CUST-000377,Asma'u Tanko,,Sale completed for Asma'u Tanko. Total: 738300.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000023,Completed Sale,SALE-2026-000023,CRM Operational Archive,2026-06-30,CUST-000245,Khadija Usman,,Sale completed for Khadija Usman. Total: 320000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000024,Completed Sale,SALE-2026-000024,CRM Operational Archive,2026-07-28,CUST-000192,Umar Ibrahim,,Sale completed for Umar Ibrahim. Total: 214200.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000025,Completed Sale,SALE-2026-000025,CRM Operational Archive,2026-06-26,CUST-000231,Hadiza Aliyu,,Sale completed for Hadiza Aliyu. Total: 725600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000026,Completed Sale,SALE-2026-000026,CRM Operational Archive,2026-08-12,CUST-000281,Maryam Bello,,Sale completed for Maryam Bello. Total: 134000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
