Sale ID,Date,Customer ID,Customer Name,Salesperson,Subtotal,Discount,Tax,Total Amount,Payment Status,Delivery Status,Status
SALE-2026-000001,2026-07-10,CUST-000357,Sani Umar,Demo Sales Executive,225000.0,0.0,0.0,225000.0,Paid,Delivered,Completed
SALE-2026-000002,2026-07-29,CUST-000123,Khadija Ibrahim,Demo Sales Executive,333900.0,10000.0,0.0,323900.0,Paid,Delivered,Completed
SALE-2026-000003,2026-08-02,CUST-000183,Maryam Suleiman,Demo Sales Executive,616000.0,0.0,0.0,616000.0,Paid,Delivered,Completed
SALE-2026-000004,2026-08-06,CUST-000294,Aliyu Usman,Demo Sales Executive,608000.0,12200.0,0.0,595800.0,Paid,Delivered,Completed
SALE-2026-000005,2026-07-28,CUST-000486,Zainab Ahmad,Demo Sales Executive,309600.0,0.0,0.0,309600.0,Paid,Delivered,Completed
SALE-2026-000006,2026-07-20,CUST-000106,Asma'u Ibrahim,Demo Sales Executive,295200.0,0.0,0.0,295200.0,Paid,Delivered,Completed
SALE-2026-000007,2026-06-23,CUST-000425,Safiya Lawal,Demo Sales Executive,161000.0,3200.0,0.0,157800.0,Paid,Delivered,Completed
SALE-2026-000008,2026-08-06,CUST-000049,Maryam Aliyu,Demo Sales Executive,294400.0,8800.0,0.0,285600.0,Paid,Delivered,Completed
SALE-2026-000009,2026-07-04,CUST-000208,Safiya Abdullahi,Demo Sales Executive,33600.0,700.0,0.0,32900.0,Paid,Delivered,Completed
SALE-2026-000010,2026-07-05,CUST-000327,Rukayya Bello,Demo Sales Executive,245700.0,7400.0,0.0,238300.0,Paid,Delivered,Completed
SALE-2026-000011,2026-07-02,CUST-000343,Yusuf Ahmad,Demo Sales Executive,129500.0,2600.0,0.0,126900.0,Paid,Delivered,Completed
SALE-2026-000012,2026-06-30,CUST-000505,Safiya Kabiru,Demo Sales Executive,636800.0,0.0,0.0,636800.0,Paid,Delivered,Completed
SALE-2026-000013,2026-07-24,CUST-000372,Usman Tanko,Demo Sales Executive,167700.0,3400.0,0.0,164300.0,Paid,Delivered,Completed
SALE-2026-000014,2026-07-12,CUST-000353,Usman Danjuma,Demo Sales Executive,635700.0,0.0,0.0,635700.0,Paid,Delivered,Completed
SALE-2026-000015,2026-06-19,CUST-000022,Bello Umar,Demo Sales Executive,241400.0,0.0,0.0,241400.0,Paid,Delivered,Completed
SALE-2026-000016,2026-08-12,CUST-000484,Abubakar Lawal,Demo Sales Executive,395500.0,11900.0,0.0,383600.0,Paid,Delivered,Completed
SALE-2026-000017,2026-06-17,CUST-000365,Hassan Bello,Demo Sales Executive,153300.0,0.0,0.0,153300.0,Paid,Delivered,Completed
SALE-2026-000018,2026-07-31,CUST-000213,Zainab Usman,Demo Sales Executive,77400.0,2300.0,0.0,75100.0,Paid,Delivered,Completed
SALE-2026-000019,2026-08-07,CUST-000040,Hassan Tanko,Demo Sales Executive,261900.0,0.0,0.0,261900.0,Paid,Delivered,Completed
SALE-2026-000020,2026-08-06,CUST-000204,Rukayya Aliyu,Demo Sales Executive,192000.0,3800.0,0.0,188200.0,Paid,Delivered,Completed
SALE-2026-000021,2026-07-18,CUST-000447,Musa Shehu,Demo Sales Executive,227800.0,0.0,0.0,227800.0,Paid,Delivered,Completed
SALE-2026-000022,2026-06-21,CUST-000377,Asma'u Tanko,Demo Sales Executive,761100.0,22800.0,0.0,738300.0,Paid,Delivered,Completed
SALE-2026-000023,2026-06-30,CUST-000245,Khadija Usman,Demo Sales Executive,320000.0,0.0,0.0,320000.0,Paid,Delivered,Completed
SALE-2026-000024,2026-07-28,CUST-000192,Umar Ibrahim,Demo Sales Executive,214200.0,0.0,0.0,214200.0,Paid,Delivered,Completed
SALE-2026-000025,2026-06-26,CUST-000231,Hadiza Aliyu,Demo Sales Executive,748000.0,22400.0,0.0,725600.0,Paid,Delivered,Completed
SALE-2026-000026,2026-08-12,CUST-000281,Maryam Bello,Demo Sales Executive,134000.0,0.0,0.0,134000.0,Paid,Delivered,Completed
SALE-2026-000027,2026-07-24,CUST-000069,Usman Yusuf,Demo Sales Executive,383800.0,11500.0,0.0,372300.0,Paid,Delivered,Completed
SALE-2026-000028,2026-07-19,CUST-000094,Ibrahim Ibrahim,Demo Sales Executive,248600.0,0.0,0.0,248600.0,Paid,Delivered,Completed
SALE-2026-000029,2026-07-12,CUST-000133,Abubakar Usman,Demo Sales Executive,107500.0,2200.0,0.0,105300.0,Paid,Delivered,Completed
SALE-2026-000030,2026-07-06,CUST-000277,Ibrahim Aliyu,Demo Sales Executive,197800.0,0.0,0.0,197800.0,Paid,Delivered,Completed
SALE-2026-000031,2026-06-26,CUST-000493,Asma'u Hassan,Demo Sales Executive,527000.0,0.0,0.0,527000.0,Paid,Delivered,Completed
SALE-2026-000032,2026-07-28,CUST-000273,Abubakar Shehu,Demo Sales Executive,43000.0,0.0,0.0,43000.0,Paid,Delivered,Completed
SALE-2026-000033,2026-07-06,CUST-000380,Umar Garba,Demo Sales Executive,532000.0,0.0,0.0,532000.0,Paid,Delivered,Completed
SALE-2026-000034,2026-08-14,CUST-000072,Khadija Hassan,Demo Sales Executive,60000.0,0.0,0.0,60000.0,Paid,Delivered,Completed
SALE-2026-000035,2026-07-05,CUST-000135,Aliyu Sani,Demo Sales Executive,70200.0,2100.0,0.0,68100.0,Paid,Delivered,Completed
SALE-2026-000036,2026-07-08,CUST-000111,Hadiza Bello,Demo Sales Executive,107200.0,0.0,0.0,107200.0,Paid,Delivered,Completed
SALE-2026-000037,2026-07-14,CUST-000206,Ibrahim Mohammed,Demo Sales Executive,129500.0,2600.0,0.0,126900.0,Paid,Delivered,Completed
SALE-2026-000038,2026-08-02,CUST-000038,Asma'u Tanko,Demo Sales Executive,456000.0,13700.0,0.0,442300.0,Paid,Delivered,Completed
SALE-2026-000039,2026-07-12,CUST-000099,Aliyu Hassan,Demo Sales Executive,408000.0,0.0,0.0,408000.0,Paid,Delivered,Completed
SALE-2026-000040,2026-07-20,CUST-000245,Khadija Usman,Demo Sales Executive,157000.0,0.0,0.0,157000.0,Paid,Delivered,Completed
SALE-2026-000041,2026-08-13,CUST-000252,Khadija Mohammed,Demo Sales Executive,124000.0,0.0,0.0,124000.0,Paid,Delivered,Completed
